"name","gender","country","sport","birth_date","height","weight","age"
"TEKDAL Ayse","Female","Türkiye","Athletics",1999-10-28,160,0,24
"AKCAM Berke","Male","Türkiye","Athletics",2002-04-10,181,0,22
"SAVASKAN Buse","Female","Türkiye","Athletics",1999-02-24,188,0,25
"TUGSUZ Eda","Female","Türkiye","Athletics",1997-03-27,173,NA,27
"DERELI Emel","Female","Türkiye","Athletics",1996-02-25,181,0,28
"SASMA Ersu","Male","Türkiye","Athletics",1999-09-30,183,0,24
"OZBILEN Kaan Kigen","Male","Türkiye","Athletics",1986-01-15,178,0,38
"OZER Kayhan","Male","Türkiye","Athletics",1998-06-11,173,0,26
"DEMIR Mazlum","Male","Türkiye","Athletics",2003-12-19,180,0,20
"BEKMEZ Meryem","Female","Türkiye","Athletics",2000-07-31,150,0,23
"ER Necati","Male","Türkiye","Athletics",1997-02-24,194,0,27
"BALTACI Ozkan","Male","Türkiye","Athletics",1994-02-13,182,0,30
"GAYLE Tajay","Male","Jamaica","Athletics",1996-08-02,185,0,27
"TUGADE-WATSON Regine","Female","Guam","Athletics",1998-01-28,164,0,26
"GREEN Joseph","Male","Guam","Athletics",2001-12-07,182,0,22
"SAMBA Abderrahman","Male","Qatar","Athletics",1995-09-05,185,0,28
"HEMEIDA Bassem","Male","Qatar","Athletics",2000-03-28,181,0,24
"BARSHIM Mutaz Essa","Male","Qatar","Athletics",1991-06-24,189,0,33
"ABAKAR Ismail Doudai","Male","Qatar","Athletics",2004-01-01,184,0,20
"ABDALLA Abubaker Haydar","Male","Qatar","Athletics",1996-08-28,181,0,27
"YAHIA IBRAHIM Ammar Ismail","Male","Qatar","Athletics",1996-09-18,195,0,27
"TROFIMOVA Sardana","Female","Kyrgyzstan","Athletics",1988-03-28,172,0,36
"KORKMAZ Salih","Male","Türkiye","Athletics",1997-01-01,175,0,27
"MUZRAPOV Favoris","Male","Tajikistan","Athletics",1998-11-15,176,0,25
"DANISMAZ Tugba","Female","Türkiye","Athletics",1999-09-01,173,0,24
"COPELLO Yasmani","Male","Türkiye","Athletics",1987-04-15,191,0,37
"PARCHMENT Hansle","Male","Jamaica","Athletics",1990-06-17,196,0,34
"SEVILLE Oblique","Male","Jamaica","Athletics",2001-03-16,170,0,23
"BRATHWAITE Rikkoi","Male","Virgin Islands, B","Athletics",1999-02-13,175,0,25
